Brand ID,Plant,Cross Plant Configurable Material,Style,Material Number ID,Material Number Text,Color (nrf Color Code),Characteristic Value For Main Sizes Of Variants ID,Fashion Information Field 1,HS2 Product Category,Brand Territory,Last Season Year/Season EMEA,Lot Logo fullbleed-desktop,ATP Current Week 30plus
NF,D060 - VF EDC (BE),NF0A879R0UZ1,M NSE CARGO PKT SHORT,NF0A879R0UZ1006,"M NSE CARGO PKT SHORT SMOKE, 38, Regular",030 - MEDIUM GREY,38,M - Mens,113 - APP_Bottom,,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A879R0UZ-HERO?$hero-fullbleed-desktop$,3
NF,D060 - VF EDC (BE),NF0A87X3QLI1,W SNOGA PNT,NF0A87X3QLI1010,"W SNOGA PNT WHITE DUNE, Large, Regular",100 - WHITE,L,W - Womens,113 - APP_Bottom,317 - Mountain Sports,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A87X3QLI-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A5JCNV5O1,W VECTIV LEVITUM,NF0A5JCNV5O1009,"W VECTIV LEVITUM ICY LILAC/BLACK, 7",680 - LIGHT PINK,070,W - Womens,123 - FTW_Shoe,317 - Mountain Sports,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A5JCNV5O-HERO?$hero-fullbleed-desktop$,13
NF,D060 - VF EDC (BE),NF0A7R4E0H51,W TRIN TIGHT,NF0A7R4E0H51001,"W TRIN TIGHT PIKES PURP, Medium, Regular",501 - DARK PURPLE,M,W - Womens,113 - APP_Bottom,322 - Off Mountain,F02022,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A7R4E0H5-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A5J8TI0H1,W FUTUREFLC FZ HDY,NF0A5J8TI0H1003,"W FUTUREFLC FZ HDY BOYSENBERRY, X Large",601 - DARK RED,XL,W - Womens,115 - APP_Outerwear,317 - Mountain Sports,F02023,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A5J8TI0H-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A8A4U6821,M SMALL BOX SS TEE,NF0A8A4U6821001,"M SMALL BOX SS TEE TNF RED, Large",610 - MEDIUM RED,L,M - Mens,114 - APP_Top,,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A8A4U682-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A7UU56S01,W TORRE EGGER FL JKT,NF0A7UU56S01003,"W TORRE EGGER FL JKT PATINA GRE, X Small",330 - LIGHT GREEN,XS,W - Womens,115 - APP_Outerwear,317 - Mountain Sports,S02023,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A7UU56S0-HERO?$hero-fullbleed-desktop$,2
NF,D060 - VF EDC (BE),NF0A8583JK31,M FINE ALPINE HD,NF0A8583JK31005,"M FINE ALPINE HD TNF BLACK, X Small",001 - BLACK,XS,M - Mens,114 - APP_Top,,F02023,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A8583JK3-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A8DT2FN41,M S/S GPS TEE STOCKHOLM,NF0A8DT2FN41001,"M S/S GPS TEE STOCKHOLM TNF WHITE, Large",100 - WHITE,L,M - Mens,114 - APP_Top,,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A8DT2FN4-HERO?$hero-fullbleed-desktop$,2
NF,D060 - VF EDC (BE),NF0A3O1BRBI1,M 24/7 7IN SHORT,NF0A3O1BRBI1001,"M 24/7 7IN SHORT ADRIATI, Large, Regular",420 - MEDIUM BLUE,L,M - Mens,113 - APP_Bottom,317 - Mountain Sports,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A3O1BRBI-HERO?$hero-fullbleed-desktop$,3
NF,D060 - VF EDC (BE),NF0A87B8MN81,B MA TRAINING PANTS,NF0A87B8MN81006,"B MA TRAINING PANTS ASP, X Large (18/20)",021 - DARK GREY,XL,K - Kids,113 - APP_Bottom,992 - Not Applicable,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A87B8MN8-HERO?$hero-fullbleed-desktop$,13
NF,D060 - VF EDC (BE),NF0A812IN07S,M S/S BRAND PROUD TEE,NF0A812IN07S001,"M S/S BRAND PROUD TEE MISTY SAGE, Medium",330 - LIGHT GREEN,M,M - Mens,114 - APP_Top,,F02023,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A812IN07-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A5G9V4HJ1,M CNYNLNDS FZ,NF0A5G9V4HJ1003,"M CNYNLNDS FZ TNF Medium Grey, XX Large",030 - MEDIUM GREY,XXL,M - Mens,115 - APP_Outerwear,,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A5G9V4HJ-HERO?$hero-fullbleed-desktop$,16
NF,D060 - VF EDC (BE),NF0A7X16QBO1,M HIM LIGHT DWN HD,NF0A7X16QBO1006,"M HIM LIGHT DWN HD SOLAR BLUE, Medium",430 - BRIGHT BLUE,M,M - Mens,115 - APP_Outerwear,322 - Off Mountain,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A7X16QBO-HERO?$hero-fullbleed-desktop$,3
NF,D060 - VF EDC (BE),NF0A8B3MDYY1,M S/S GPS TEE  PRAGUE,NF0A8B3MDYY1003,"M S/S GPS TEE  PRAGUE TNFMEDIUMGR, Large",030 - MEDIUM GREY,L,M - Mens,114 - APP_Top,,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A8B3MDYY-HERO?$hero-fullbleed-desktop$,6
NF,D060 - VF EDC (BE),NF0A87N6FN41,W S/S EASY TEE,NF0A87N6FN41001,"W S/S EASY TEE TNF WHITE, Medium",100 - WHITE,M,W - Womens,114 - APP_Top,,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A87N6FN4-HERO?$hero-fullbleed-desktop$,10
NF,D060 - VF EDC (BE),NF0A87TWO0F1,W SHADOW SS,NF0A87TWO0F1004,"W SHADOW SS ASTRO LIME, Medium",320 - BRIGHT GREEN,M,W - Womens,114 - APP_Top,317 - Mountain Sports,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A87TWO0F-HERO?$hero-fullbleed-desktop$,7
NF,D060 - VF EDC (BE),NF0A87J60C51,M MA WIND TRACK PANT,NF0A87J60C51002,"M MA WIND TRACK PANT ASP, Large, Regular",021 - DARK GREY,L,M - Mens,113 - APP_Bottom,,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A87J60C5-HERO?$hero-fullbleed-desktop$,1
NF,D060 - VF EDC (BE),NF0A871XO0F1,W SUNRISER TANK,NF0A871XO0F1002,"W SUNRISER TANK ASTRO LIME, X Small",320 - BRIGHT GREEN,XS,W - Womens,114 - APP_Top,317 - Mountain Sports,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A871XO0F-HERO?$hero-fullbleed-desktop$,4
NF,D060 - VF EDC (BE),NF0A89JFKT01,W SAIKURU VEST,NF0A89JFKT01006,"W SAIKURU VEST TNFBLACK/ASPHGR, Medium",001 - BLACK,M,W - Womens,115 - APP_Outerwear,,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A89JFKT0-HERO?$hero-fullbleed-desktop$,19
NF,D060 - VF EDC (BE),NF0A7ZE9XIX1,W AO SOFTSHELL JKT,NF0A7ZE9XIX1001,"W AO SOFTSHELL JKT ASPHALT GREY/T, Small",021 - DARK GREY,S,W - Womens,115 - APP_Outerwear,317 - Mountain Sports,S02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A7ZE9XIX-HERO?$hero-fullbleed-desktop$,6
NF,D060 - VF EDC (BE),NF0A8AM3JK31,M FRNTR FTLT JKT,NF0A8AM3JK31004,"M FRNTR FTLT JKT TNF BLACK, Medium",001 - BLACK,M,M - Mens,115 - APP_Outerwear,317 - Mountain Sports,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A8AM3JK3-HERO?$hero-fullbleed-desktop$,31
NF,D060 - VF EDC (BE),NF0A4CB7JK31,M EASY TIGHTS,NF0A4CB7JK31001,"M EASY TIGHTS TNF BLACK, Large",001 - BLACK,L,M - Mens,113 - APP_Bottom,317 - Mountain Sports,F02023,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A4CB7JK3-HERO?$hero-fullbleed-desktop$,2
NF,D060 - VF EDC (BE),NF0A3FJW1NI1,SALTY LINED BEANIE,NF0A3FJW1NI1001,"SALTY LINED BEANIE Midn, One Size, Short",501 - DARK PURPLE,OS,M - Mens,105 - ACC_Headwear,321 - Mountain Essentials,F02024,https://images.thenorthface.com/is/image/TheNorthFaceEU/NF0A3FJW1NI-HERO?$hero-fullbleed-desktop$,24
